activity_uuid_product_uuid,activity_name,geography,reference_product_name,unit
dabb3812-eee9-5d2b-bc23-0f9a38e6f71e_bded6c5a-4dca-497e-bdd9-fcd343012087,"bark chips, wet, measured as dry mass to generic market for residual hardwood, wet",CH,"residual hardwood, wet",m3
3b34f2a3-abfb-5681-ac78-60c8fada5b16_61c1d37e-ad50-4159-b379-cfe3976720bf,market for nitrous oxide,GLO,nitrous oxide,kg
3a2ab192-109a-5fa4-b9d9-7ed5421ce5c6_dfaef357-a79e-4846-aabc-848b1ab59fbb,"market for sawdust, wet, measured as dry mass",CH,"sawdust, wet, measured as dry mass",kg
16e0e4f7-a44f-55d5-ae85-b2a614f42095_d5d05133-2092-451a-b9fa-c782a6ce3786,"market for sewage sludge, 70% water, WWT, WW from maize starch production",CH,"sewage sludge, 70% water, WWT, WW from maize starch production",kg
732c6740-c4fb-598d-89a0-f8d0a443913f_0d84cdfe-bcf2-4821-8f34-d93b9f611c11,phenolic resin production,RER,phenolic resin,kg
32ab1519-ba6d-5432-9c5d-c82d26d1564a_618cf05a-8af0-4638-b40d-5a5d15ca971e,"treatment of sewage sludge, 97% water, WWT, WW from ammonium paratungstate production, landfarming",CN,"sewage sludge, 97% water, WWT, WW from ammonium paratungstate production",kg
d08ed49a-25fd-5766-bafc-3cb505dac2e8_66c93e71-f32b-4591-901c-55395db5c132,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical",US-WECC,"electricity, high voltage",kWh
6632b6ca-fdb9-5d16-a1b1-599bb8bff19b_60e40c5e-8a0e-52f7-8c7f-2664ac536903,"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming",Europe without Switzerland,"organic nitrogen fertiliser, as N",kg
a73e89c1-abd9-54a1-8c44-17547de7e7ef_f1efe0d9-811f-4bf7-af7b-81aff81f5568,"catch crop growing, ryegrass, September-April, organic fertiliser 40 kg N, one cut",CH,ryegrass silage,kg
da6fd7f1-4ee6-5491-81a9-2e42ce8968dd_f6ba241a-2732-47fb-bff3-ca4a3e30faa3,"nuclear fuel element production, for pressure water reactor, UO2 3.8% & MOX",RoW,"nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX",kg
59abf99d-3a33-5d9c-a8d7-a2fc6b146250_3103a12f-4541-4c57-88e1-79d331927a66,"battery cell production, Li-ion, LiMn2O4",RoW,"battery cell, Li-ion, LiMn2O4",kg
25bb2c21-f6f5-58e1-b110-9025bfb6a70f_aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4,"impact extrusion of aluminium, 4 strokes",RER,"impact extrusion of aluminium, 4 strokes",kg
7bc57d51-d238-5ed5-970d-d8e6f2d47dc1_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, production mix",BN,"electricity, high voltage",kWh
a25fd054-f122-5de8-864c-d431bdf452b9_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, wind, 1-3MW turbine, onshore",CN-SC,"electricity, high voltage",kWh
c6588bbf-2571-50e5-b3fb-c187d3ceb09b_bd9f3f8b-c561-4604-b683-4e53f704bd02,oxidation of butane,RoW,methyl acetate,kg
0d5b2bcc-f4cd-5c9f-b39e-52407016c78b_71e2f1db-a2c5-44d0-8337-dfff15be974d,"heat and power co-generation, lignite",SI,"heat, district or industrial, other than natural gas",MJ
37692790-c50b-5967-9e40-57d50862e6ba_42baed81-24d1-4aed-a120-cc7d35ddac10,market for waste paperboard,IT,waste paperboard,kg
00299986-0b1a-5f9c-b1c7-a919ac63f737_d4ee8f39-342b-4443-bbb9-c49b6801b5d6,concrete block production,RoW,concrete block,kg
5ce73ef2-3846-5a51-bd31-812805640425_66c93e71-f32b-4591-901c-55395db5c132,"heat and power co-generation, hard coal",TR,"electricity, high voltage",kWh
7dff266a-227e-5b61-b4b5-89b6d3c319c1_5321a299-0c03-4bfc-9dda-d020456f6b2e,nutrient supply from ammonium nitrate phosphate,CN,"inorganic phosphorus fertiliser, as P2O5",kg
f4fc142e-1a69-5bcd-9cbf-820ab64855c3_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, hard coal",US-MRO,"electricity, high voltage",kWh
ad20db3a-415e-5e39-b222-854caf996375_03cc9df9-29e5-4ee0-8bff-a70999caffbf,"tomato production, processing grade, open field",IT,"tomato, processing grade",kg
deb82648-4de3-5bf1-8843-3ae09d10cfce_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,"land already in use, perennial cropland to annual crop",BR-GO,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kg
d75ddb25-1efc-554d-936e-bbfe99ee910a_4c2b6470-79f6-40e4-b6c0-08a769c9ab04,maleic anhydride production by catalytic oxidation of benzene,RoW,maleic anhydride,kg
f43779f5-10a6-5638-a755-b0e01d79e149_d51e5a32-c20a-4da6-8d58-31f344b50c00,market for waste graphical paper,HR,waste graphical paper,kg
e817e4b1-9760-5069-8029-02d8606d3f4f_63bf19bc-8cbc-4d14-906e-abfa110dbb5f,"market for sulfidic tailings, from gold mine operation",CN,"sulfidic tailings, from gold mine operation",kg
05040ba1-9a93-5c05-b8d5-75cdeb9f218a_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, import from HR",SI,"electricity, high voltage",kWh
ad7bb6b7-d973-54fa-9964-53290b4f10d3_1458c180-5333-475e-88d2-7886d76e779e,"lath, softwood, raw, kiln drying to u=20%",Europe without Switzerland,"sawnwood, lath, softwood, raw, dried (u=20%)",m3
eb037ccb-a1b4-5260-8351-eb3e9144e038_9b9edcf3-0539-4642-9516-0df642a5c41a,"land already in use, perennial cropland to perennial crop",VN,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",kg
45f0b140-b492-52bc-af64-d4808958700d_c0939534-d461-46e6-b433-f4cdad1f5ef7,"treatment of sewage sludge, 70% water, WWT, WW from concrete production, municipal incineration",GLO,"sewage sludge, 70% water, WWT, WW from concrete production",kg
d13c608c-dd58-50e0-b796-adf07d1a1f3f_6666335b-58fd-4687-9e8e-4235d8dd7b20,"treatment of fly ash and scrubber sludge, hazardous waste incineration",RoW,fly ash and scrubber sludge,kg
e53851f7-5ca5-5f07-8c2c-c65d5eee38b5_42d2fd94-f9c8-4903-ac72-a4fe5af22233,"treatment of wastewater from PV cell production, wastewater treatment",RoW,wastewater from PV cell production,m3
8802cfa2-5c70-524f-b489-e32298fffbff_77ab9d43-1562-49e6-b42e-faa4e9f69e2b,"fuel cell production, solid oxide, with micro gas turbine, 180kW electrical, future",RoW,"fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future",unit
beae5ed7-95b6-5435-92d0-11abfea400d2_02db23d4-0c70-4c90-98b6-2aa65ef4b268,"transport, freight, aircraft, dedicated freight, very short haul",GLO,"transport, freight, aircraft, very short haul",metric ton*km
d2625fae-fc2b-52f6-a2c5-ada2292d0a8a_9e2fbebe-7357-4057-b7c6-3c4d7cfa5285,"uranium production, centrifuge, enriched 3.9%",NL,"uranium, enriched 3.9%, per separative work unit",unit
21157467-225d-5fc9-b50c-6c5069a1fadb_4aeb3a6c-81f4-4f6e-80b6-797b812e0792,market for fatty acid,GLO,fatty acid,kg
7e44cc11-9b59-5b65-9add-ea6f073c4004_dca5d4c8-0e53-4f11-9df5-418e30a0e49f,breadcrumbs production,RER,breadcrumbs,kg
b6f5e662-3bcc-55e0-afd0-5b965db396ab_780b9e94-60a4-411e-9cc5-02948676003b,"treatment of wastewater from grass refinery, wastewater treatment",CH,wastewater from grass refinery,m3
46a156a7-9eb2-568f-a96d-120fe63a892a_019600be-f3ce-4399-9e31-19cdc087ed5f,"shavings, hardwood, measured as dry mass to generic market for residual wood, dry",Europe without Switzerland,"residual wood, dry",m3
f7e64fb7-17f2-598c-8dd6-9ce1ff477c83_318bc688-5b2f-56fa-8bab-3c071c0f52bb,"treatment of sewage sludge, 97% water, WWT, WW from concrete production, landfarming",RoW,"organic potassium fertiliser, as K2O",kg
20c37d85-04ca-585e-a554-0f2e8d06abc6_c1fd4059-c24f-4e05-b3f5-82651ec0dbfa,dichloromethane production,RER,dichloromethane,kg
2dd21cc0-1558-5414-ac97-4b603d3b6e69_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874,"market for land tenure, arable land, measured as carbon net primary productivity, annual crop",BR-SC,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kg
5f2b7b6e-fe4b-5623-aa7f-fc6752f2495c_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, production mix",SG,"electricity, high voltage",kWh
50d9539b-9086-56a7-ace3-f60930692c66_b1489e93-5758-49fb-979e-455555779aec,market for crust from Parkes process for lead production,GLO,crust from Parkes process for lead production,kg
d2e79c32-e80c-5acb-b9a6-133c722cf60b_6d2c81d0-5546-4bc3-a4f4-3e88606d539d,"market for bark chips, wet, measured as dry mass",RoW,"bark chips, wet, measured as dry mass",kg
c6588bbf-2571-50e5-b3fb-c187d3ceb09b_86e1bf02-e86a-479b-9051-710271dbd745,oxidation of butane,RoW,methyl ethyl ketone,kg
da43b5f7-098f-5c96-8ad7-749cf54b0844_e8a17c52-fef4-4297-994b-e7536c00dfab,"treatment of used refrigeration machine, R134a as refrigerant",GLO,"used refrigeration machine, R134a as refrigerant",unit
7c68b8dc-2ec6-57d1-956f-7bdb9fa4eeb5_d11b6468-c23b-4139-bd97-2dd8542a7ead,polystyrene foam slab for perimeter insulation,RoW,polystyrene foam slab for perimeter insulation,kg
7eae8cab-8770-5099-ad70-b05970f4813c_760a7b1e-b405-4f8a-ad37-f032f36c02c0,flattened bamboo production,PH,flattened bamboo,kg
65852e20-d63e-53cd-aeab-d48d4a348f40_b3c58f5d-5815-487c-8b9c-4366e00d22dc,"heat production, natural gas, at boiler atmospheric low-NOx non-modulating <100kW",Europe without Switzerland,"heat, central or small-scale, natural gas",MJ
4dedd231-3053-55b8-8173-1334b060493a_5981c7be-0137-5e12-8ff5-d4f0649f3953,chlorpropham production,GLO,chlorpropham,kg
d7fd7d25-dbeb-5c28-a1da-db0a178b1f89_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, natural gas, combined cycle power plant",IT,"electricity, high voltage",kWh
d06d4f2b-95a1-571b-ac15-c7faefc17deb_3990b197-a303-4c36-ae1c-c2ddebaad744,market for kerosene,RoW,kerosene,kg
69fa6126-09e6-5b9c-8d29-ef8a9e7b570f_71e2f1db-a2c5-44d0-8337-dfff15be974d,"treatment of sewage sludge, 75% water, WWT, WW from GGBFS production, sanitary landfill",RoW,"heat, district or industrial, other than natural gas",MJ
87f75ecd-76c5-5df1-992e-0abc12517b60_9cdb112b-0d90-4d76-9cec-412b0c67d8bb,market for waste polyurethane,IE,waste polyurethane,kg
bd3f4a80-74c2-5b57-855a-138be4d487e1_71e2f1db-a2c5-44d0-8337-dfff15be974d,"treatment of sewage sludge, 75% water, WWT, WW from PV cell production, sanitary landfill",GLO,"heat, district or industrial, other than natural gas",MJ
e98cc1f8-7102-52b4-a0e2-258048b62df0_1fe6463a-08c8-406e-b05c-d5ad845da6be,cationic resin production,RoW,cationic resin,kg
757f2746-e008-5940-ac95-c2c863b5746c_51981001-f60a-4dce-ae66-c0aeef64015e,"bamboo forestry, sustainable forest management",CO,bamboo culm,kg
2b5d35d4-4a18-5f0e-8abe-1bbfb71b6ec1_5321a299-0c03-4bfc-9dda-d020456f6b2e,"market for inorganic phosphorus fertiliser, as P2O5",RS,"inorganic phosphorus fertiliser, as P2O5",kg
b6056dfc-791f-5227-9f42-3991f8a9a2de_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",IL,"electricity, low voltage",kWh
c2a5b114-86f6-5722-8a81-9da06c1f59de_2cfef82e-cb0d-4864-8163-9651fc6c25eb,"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg
543550dd-7f17-5f78-b997-ae1410671af4_b419e26a-249f-4286-a6f8-188e7dfba951,market for titanium dioxide,RER,titanium dioxide,kg
b90dcf52-3e8c-5fb5-9b2b-38561d800000_71e2f1db-a2c5-44d0-8337-dfff15be974d,"heat production, propane, at industrial furnace >100kW",RoW,"heat, district or industrial, other than natural gas",MJ
c0ce968c-0a52-5be2-b269-7cbf2719cfd2_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b,"heat and power co-generation, biogas, gas engine",US-SERC,"heat, central or small-scale, other than natural gas",MJ
1c08e879-f4d0-5a32-b018-4eba4e0afe32_96525009-1ff7-4f3c-aeb9-44ffd9a063ed,woven bamboo mat production,CO,woven bamboo mat,kg
0251cf86-6218-5d0b-af7f-398bf5033051_4ded4b10-8c5a-41bf-9098-0194fc46b639,"market for machine operation, diesel, < 18.64 kW, low load factor",GLO,"machine operation, diesel, < 18.64 kW, low load factor",hour
6d97aa8e-2744-5312-8b96-6b05efb78696_1c5d51e7-9762-5fbb-b707-03198c65b424,"natural gas, burned in gas turbine",IQ,"natural gas, burned in gas turbine",MJ
57783e35-3d86-5584-8ac7-09abd5815032_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, production mix",HU,"electricity, high voltage",kWh
09bad9e0-3511-5fc1-bce7-cb8b26b30d38_d13ae29b-7d6a-55d2-8380-86343a80fed8,"market for waste polyethylene terephthalate, for recycling, unsorted",RoW,"waste polyethylene terephthalate, for recycling, unsorted",kg
d33aefb0-dc39-57ef-937f-096e854adfa6_66c93e71-f32b-4591-901c-55395db5c132,"heat and power co-generation, wood chips, 6667 kW",IN-AP,"electricity, high voltage",kWh
439ff853-795a-5eaf-9ff2-b8bc4944a1f7_858164b0-44f1-4118-b6cb-47054faa21ef,"aluminium scrap, post-consumer, prepared for melting, Recycled Content cut-off",GLO,"aluminium scrap, post-consumer, prepared for melting",kg
d305faf9-d271-502a-98f4-05d30b2029c1_0ace02fa-eca5-482d-a829-c18e46a52db4,"transport, freight train, electricity",RoW,"transport, freight train",metric ton*km
42aaf878-3f5a-5255-898e-e9fb167af89e_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",AU,"electricity, low voltage",kWh
ab153c21-a8af-5657-aebb-1bef8208fd55_71d0cff1-7f13-4476-94a9-4eaaec98d225,ferronickel production,GLO,ferronickel,kg
f43edcb3-07d9-57c8-be3b-a272f7d3f57a_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8,"copper mine operation and beneficiation, sulfide ore",CN,"copper concentrate, sulfide ore",kg
2fb684b4-22da-5e05-8f68-c38f58be95a6_7310faf6-857d-4013-8fa4-043200a2c0e7,"market for anode, silicon coated graphite, for Li-ion battery",CN,"anode, silicon coated graphite, for Li-ion battery",kg
1d3cd7b5-27d6-5e64-bd8a-3f7542c4630e_a498d9fb-9402-4374-b2e2-3f85f5d98f43,market for ammonium nitrate,CN,ammonium nitrate,kg
71704499-dcd8-58d3-bfac-b7a715fe8c01_518565e9-8537-42b5-869b-2df9bcfbb849,laterite quarry operation,IN,"laterite, mineral",kg
95bac83a-e8e9-54a5-996c-fef0438e9222_01d3bb5a-645e-485c-9661-cdcebf93385c,"orange production, processing grade",BR,"orange, processing grade",kg
d6459f77-552d-5ae1-89b5-8b1bc6b77f3d_d7d5b411-031a-4735-acee-3f9658cf74c4,"market for skidding, skidder",GLO,"skidding, skidder",hour
2e729135-26e3-57e0-987b-ea356eb02098_bd6aab7d-fe7d-4396-b209-448ffb557a61,market for fish residues,GLO,fish residues,kg
267766d2-9be1-5a31-87e0-e0ca2b8132b7_8b54f6c4-5a2c-4816-8691-7941b290407a,"glazing production, triple, U<0.5 W/m2K",RER,"glazing, triple, U<0.5 W/m2K",m2
1d511a21-72db-5825-8e05-0e2a6a049150_08c64e0a-dbf8-47a7-86dc-c281f357e9cd,horn meal production,RoW,horn meal,kg
e6b2b5d5-4af7-5ab8-9d47-17bfc162b584_eee95138-58c8-4172-9b1f-754ba074325d,"concrete, all types to generic market for concrete, normal strength",PE,"concrete, normal strength",m3
2954d2d9-daf4-5f48-aca0-d8e7a3030ef9_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, hard coal",IN-PB,"electricity, high voltage",kWh
f8126f1d-bd2e-532a-8f51-df12fc1fe86c_d69294d7-8d64-4915-a896-9996a014c410,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",ES,"electricity, low voltage",kWh
d0d3d392-dfd0-5081-af0c-d21d915a54d9_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, hydro, pumped storage",RO,"electricity, high voltage",kWh
7c0fc742-7d36-5857-9223-70ee56290ab7_22cdac63-419a-4980-ad99-5c0caff0a614,market for soybean meal,BR,soybean meal,kg
4138554f-b8e0-5203-ad46-f9d4885714ba_42761d87-05d9-4877-b21e-001ecf0c747d,"trawler maintenance, steel",RoW,"trawler maintenance, steel",kg
f554d916-f5ab-5dd6-87ec-434145417dbe_90c3c146-16ab-4e66-9cb5-424629767a3b,"maintenance, electric scooter, without battery",GLO,"maintenance, electric scooter, without battery",unit
304cb2e9-4421-5e77-b4cc-7a7cdbd550c6_960bec1c-d3f1-496a-86d8-f8168245e465,skidder production,GLO,skidder,unit
9d1d0815-9c2e-5fe5-9086-62832054c117_08182e61-7e1a-4e55-8aad-aaf8de6fa678,market for cobalt sulfate,RoW,cobalt sulfate,kg
86e8a078-d06c-54de-b7ff-839ba6ef2bb0_d69294d7-8d64-4915-a896-9996a014c410,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",CA-SK,"electricity, low voltage",kWh
e82e017b-983b-5910-97b7-cdbe8f3151da_1c5d51e7-9762-5fbb-b707-03198c65b424,"natural gas, burned in gas turbine",RoW,"natural gas, burned in gas turbine",MJ
cefcc481-449d-5334-9450-b603fc7afbee_66c93e71-f32b-4591-901c-55395db5c132,"electricity, high voltage, import from CR",PA,"electricity, high voltage",kWh
7023df75-302b-5f29-85d2-9b9303eb3402_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, deep geothermal",HU,"electricity, high voltage",kWh
08bd37b2-dcaa-5232-9caf-a07a11839c36_609fae33-2e89-4b99-8129-b1f80a6dda33,"natural gas pressure reduction, from high to low pressure",MX,"natural gas, low pressure",m3
afec84c8-ae65-525b-a298-210bcae9bf24_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, wind, >3MW turbine, onshore",CN-SA,"electricity, high voltage",kWh
81fafab0-3c11-5fcb-afb8-1429d725fb9f_66c93e71-f32b-4591-901c-55395db5c132,"market group for electricity, high voltage",RER,"electricity, high voltage",kWh
7e1103c0-e852-5e9d-b2a0-f143da5b3a8f_66c93e71-f32b-4591-901c-55395db5c132,"electricity production, nuclear, pressure water reactor",DE,"electricity, high voltage",kWh
