input_activity_uuid_product_uuid,exchange_name,exchange_unit_name
7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",kg
3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",kWh
62b803ad-e3ff-516b-947d-f08eea52c702_fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",kg
372a1991-e0af-5fbf-8611-295a535373ad_9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,kg
531db396-1434-54e5-b6c4-c2b4323471cb_751b5ee2-aa63-456c-8d7d-1af517fb7032,"stone wool, packed",kg
c93a2afc-7e58-50b6-af0e-586f71a3de0e_bfd577e2-82b4-4166-af2b-3bda540931f6,waste mineral wool,kg
3a29c9e0-4183-588d-95a9-502b55d2c513_bfd577e2-82b4-4166-af2b-3bda540931f6,waste mineral wool,kg
2330b528-6e31-5a99-9801-73834e2a835f_6f2eb438-cde2-4d07-a770-d023a988a9c4,"waste wood, untreated",kg
79d6450d-f9ad-5619-89c3-05c8d7622af3_b0f4c2fb-5081-474a-8ffa-1457da8345db,"diesel, burned in building machine",MJ
044043d2-bdfc-55f1-9d2d-e8431d5266c7_8cb650d5-8a48-4719-81b1-2080b3b4387f,"steel, low-alloyed, hot rolled",kg
b15ab842-2312-5bb6-8236-2938afe4d3c6_d69294d7-8d64-4915-a896-9996a014c410,"electricity, low voltage",kWh
809a7ce6-14e4-55fd-887d-6ff4460139f3_ea75b944-c676-4a13-85b8-2bea98f765a4,lubricating oil,kg
f15e65b7-c7ab-50ba-b107-bf1e576ed39e_1b30b018-ac39-41f4-a9e0-92057eef8bb8,waste mineral oil,kg
3cc7b300-3205-5751-8227-97a168ef9b68_1b30b018-ac39-41f4-a9e0-92057eef8bb8,waste mineral oil,kg
874108e3-39a6-5413-ac1a-18c9919e7025_eee95138-58c8-4172-9b1f-754ba074325d,"concrete, normal strength",m3
d12cb441-97f4-5146-8f5d-9c9d32abd0bf_eee95138-58c8-4172-9b1f-754ba074325d,"concrete, normal strength",m3
8aefaa4d-b75c-5f4a-83cf-a6bdb777ebfa_ed3b2533-9ae2-4f2d-85de-c24200ce8975,"compressed air, 700 kPa gauge",m3
0147a794-6a95-5238-a71f-2821f14f807e_6eb8dc11-5ac4-4538-a1f1-95463b640ea5,"energy and auxilliary inputs, metal working factory",kg
68b581a0-9b56-58f5-b0c4-c153d1874d29_f5bfce90-cc98-41d4-b49a-e82d57550d38,metal working factory,unit
9f3e25dd-4b0a-5d36-9bd3-f84368dc4f94_254f15c9-25c1-4f01-a416-5c1359124d97,"metal working machine, unspecified",kg
30d72c1f-ee68-535d-b523-49ba5260fdff_5357a067-f798-46fb-97b0-fa18f723341b,waste reinforced concrete,kg
c85b4ef8-d5f3-5c03-bbed-b57f23566ff2_5357a067-f798-46fb-97b0-fa18f723341b,waste reinforced concrete,kg
26d4e080-9904-5c82-bdaf-3811f41f8130_fd45a910-a95c-4742-90a5-473e86d16486,"polyvinylchloride, emulsion polymerised",kg
8fa9690a-86a4-5c8c-95fa-3b14dde7a63f_e69cca3a-6e2a-4638-b9e7-09927dcf1c95,"polyvinylchloride, suspension polymerised",kg
bbb598a6-5422-5878-ab05-42ebd0ac6911_579049d0-3db8-4496-a234-2f61ed28a72b,"extrusion, plastic film",kg
0aff95db-45b1-54e1-a3ae-f9021924438c_3ce1a817-4ae8-4edc-bf8b-cb1b5d853410,"packaging film, low density polyethylene",kg
5fac83fe-8483-5429-85f3-7b0b2c7c11f2_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,waste brick,kg
1bb973cd-c66a-5c0f-82fc-aa365e7ec969_bd4b5819-02c6-41c3-97ea-a91f14b3e0bc,waste brick,kg
10282993-ad4b-5b68-a2bc-7afe8f7b5023_e9066206-5489-4a49-8192-927722af79ad,clay brick,kg
3951c4eb-ec78-5a89-a89f-1a546b701f49_d454e221-5f08-4259-b46b-31d0dbe595d1,cement mortar,kg
c942f4dc-d2b6-5f3e-9165-73a868582602_1c17413f-82b0-4ddb-beef-63854b1a8e1f,"waste bulk iron, excluding reinforcement",kg
7d7eeb00-1001-5060-95c8-463935341fc8_3728ce01-009e-4b64-94d4-3c3e9fabf888,waste cement in concrete and mortar,kg
2dee9ec5-2740-5656-b6df-2fd73f06a37d_42b1c202-8308-422e-bfb7-3efe54dfcef6,waste glass sheet,kg
3e990593-830f-5069-bef2-f1bee9fe9c4e_1c17413f-82b0-4ddb-beef-63854b1a8e1f,"waste bulk iron, excluding reinforcement",kg
d5982027-3c7b-5628-a5d7-12967578b20b_3728ce01-009e-4b64-94d4-3c3e9fabf888,waste cement in concrete and mortar,kg
16ac64a4-f07b-5a9e-b5bb-ff5adf73ae45_42b1c202-8308-422e-bfb7-3efe54dfcef6,waste glass sheet,kg
cfaf1edc-4716-5b74-b205-0af1e0ceb9cc_9d7bbcc8-687c-4675-ba32-134d3fcc2bcf,"sawnwood, softwood, dried (u=10%), planed",m3
5d7c64ff-3646-56cb-8034-77ffaf4ae9df_a9e29d5c-c101-4560-afce-118c572871f3,"flat glass, coated",kg
4fd573fd-7e9d-5fe9-ac5d-b7f09a95695e_76c62dcf-b87a-4509-9682-514079cf7975,waste polyvinylchloride product,kg
78a60110-2c67-5568-b476-748e230634e8_76c62dcf-b87a-4509-9682-514079cf7975,waste polyvinylchloride product,kg
ef656a74-9e14-5180-a05a-96b02cf37775_171e53d3-3f3a-45a1-99f6-fad22caf1cd6,"waste sealing sheet, polyethylene",kg
778a86d0-4a3e-5141-9ab0-6cab85bdac5d_0ace02fa-eca5-482d-a829-c18e46a52db4,"transport, freight train",metric ton*km
ba7d530d-298f-564c-8998-eb41d1d480c3_cfbce515-3f54-4411-ad9d-3d26b7faa15a,"transport, freight, lorry, unspecified",metric ton*km
9db063b2-21e3-5c8f-bbc3-7dc7362023a1_eeb68c18-502b-4117-a033-a5daf24322fc,"transport, freight, sea, bulk carrier for dry goods",metric ton*km
69c191c3-91f0-5406-a11d-3a8df4da396f_090f56b8-6a83-48c1-ae26-234d04771e53,"transport, freight, light commercial vehicle",metric ton*km
51989dc8-ee4f-5826-84c0-4c159bd9f0e2_57143a43-20ab-44a5-a4a2-26effbdfafd1,"transport, freight, inland waterways, barge tanker",metric ton*km
2be9684b-01a3-51f2-8642-06ba17ffd36c_1fa64d0c-afd7-46ab-b95c-3a54e0902dd0,coke,MJ
141e871c-60db-5929-9f54-ea1d4f44018c_1fa64d0c-afd7-46ab-b95c-3a54e0902dd0,coke,MJ
729ed5b6-54c4-5461-a72e-270cb0a3a8e2_1fa64d0c-afd7-46ab-b95c-3a54e0902dd0,coke,MJ
79a88a37-9c69-5a4e-8fa7-c55cd9996c56_8a309022-83ff-455f-a0bd-17edef16b064,refrigerant R134a,kg
8144709a-c3a1-52c1-9836-9deb1baade88_8a309022-83ff-455f-a0bd-17edef16b064,refrigerant R134a,kg
dbb8286b-692a-55fd-8cab-ac22ce892a81_8a309022-83ff-455f-a0bd-17edef16b064,refrigerant R134a,kg
